Supervisor Name,Supervisor Email,Job Title,Start Date,End Date,Ongoing,Salary,Employer Name,Employer Email Address,Status,Offer Accepted?,Student Email Address,Student Username,Student First Name,Student Last Name,Job Type,Employment Type,Industry,Location Address,Location City,Location State,Location Country
Jesse Morgan,jesse_morgan@century21.com,,10/26/13,1/26/14,f,126696,Nucor Steel,hr@nucor.com,approved,undecided,student@amaranta.edu,student,John,Doe,,,Mining/Metals,"Crawfordsville, IN 47933, USA",Crawfordsville,Indiana,United States
Bobbie Bailey,bobbie_bailey@michigan.gov,,10/26/13,1/26/14,f,111948,Nucor Steel,hr@nucor.com,declined,no,bernard.stewart@amaranta.edu,bernard_stewart,Bernard,Stewart,,,Mining/Metals,"Crawfordsville, IN 47933, USA",Crawfordsville,Indiana,United States
Harper Miller,harper.miller@amaranta.edu,Per Diem Pharmacist,10/26/13,1/26/14,f,51804,Walgreens,hr@walgreens.com,approved,no,arianna.oliver@amaranta.edu,arianna_oliver,Arianna,Oliver,Job,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Henry Holland,henry_holland@ted.com,Showband - Trombone,10/26/13,1/26/14,t,119962,Carnival Cruises,hr@carnival.com,approved,no,johnny.owens@amaranta.edu,johnny_owens,Johnny,Owens,Job,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Cherly Henry,cherly_henry@joinhandshake.com,Fisheries Biologist 9,10/26/12,1/26/13,t,86632,Department of Natural Resources - MI,hr@michigan.gov,declined,undecided,beverly.nguyen@amaranta.edu,beverly_nguyen,Beverly,Nguyen,Job,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Delores Rivera,delores_rivera@century21.com,,10/26/12,1/26/13,t,116249,State of Michigan Treasury,hr@michigan.gov,approved,yes,ethan.rice@amaranta.edu,ethan_rice,Ethan,Rice,,,Government Administration,"Bakersfield, CA, USA",Bakersfield,California,United States
Freddie Burns,freddie_burns@seventeen.com,,10/26/12,1/26/13,t,55425,State of Michigan Treasury,hr@michigan.gov,approved,no,lydia.jenkins@amaranta.edu,lydia_jenkins,Lydia,Jenkins,,,Government Administration,"Bakersfield, CA, USA",Bakersfield,California,United States
Juan Hoffman,juan_hoffman@dowagro.com,,10/26/12,1/26/13,t,59277,State of Michigan Treasury,hr@michigan.gov,pending,no,franklin.peterson@amaranta.edu,franklin_peterson,Franklin,Peterson,,,Government Administration,"Bakersfield, CA, USA",Bakersfield,California,United States
Mia Williams,mia_williams@disney.com,Gas Distribution Operations,10/26/13,1/26/14,f,117482,Northern Natural Gas,hr@nngco.com,approved,undecided,samantha.dean@amaranta.edu,samantha_dean,Samantha,Dean,Job,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Jose Martinez,jose_martinez@abc-company.com,,10/26/12,1/26/13,t,32201,Century21,hr@century21.com,declined,undecided,tonya.gonzalez@amaranta.edu,tonya_gonzalez,Tonya,Gonzalez,,,,"Bakersfield, CA, USA",Bakersfield,California,United States
Isobel Ruiz,isobel_ruiz@walmart.com,,10/26/12,1/26/13,f,51745,Century21,hr@century21.com,declined,no,mathew.warren@amaranta.edu,mathew_warren,Mathew,Warren,,,,"Bakersfield, CA, USA",Bakersfield,California,United States
Cody Fisher,cody_fisher@walgreens.com,,10/26/13,1/26/14,t,68713,Target,hr@target.com,approved,undecided,joshua.bradley@amaranta.edu,joshua_bradley,Joshua,Bradley,,,Retail Industry,"Mountain View, CA, USA",Mountain View,California,United States
Sherri Sims,sherri_sims@usda.gov,,10/26/12,1/26/13,t,62955,Target,hr@target.com,pending,undecided,randy.morgan@amaranta.edu,randy_morgan,Randy,Morgan,,,Retail Industry,"Mountain View, CA, USA",Mountain View,California,United States
Melinda Crawford,melinda_crawford@walmart.com,Art Director,10/26/13,1/26/14,t,89065,Walmart,hr@walmart.com,declined,yes,lily.steeves@amaranta.edu,lily_steeves,Lily,Steeves,Job,Full-Time,Retail Industry,"Mountain View, CA, USA",Mountain View,California,United States
Laura Jefferson,laura_jefferson@michigan.gov,Disk Jockey,10/26/11,1/26/12,t,38846,State of Michigan Treasury,hr@michigan.gov,approved,no,beverly.nguyen@amaranta.edu,beverly_nguyen,Beverly,Nguyen,Job,Part-Time,Government Administration,"Bakersfield, CA, USA",Bakersfield,California,United States
Scott Jones,scott_jones@redcross.org,Production Assistant,10/26/11,1/26/12,t,51740,American Red Cross,hr@redcross.org,approved,no,bessie.morris@amaranta.edu,bessie_morris,Bessie,Morris,Graduate School,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
John Brown,john_brown@michigan.gov,Pharmacist,10/26/11,1/26/12,t,56342,Department of Natural Resources - MI,hr@michigan.gov,approved,yes,johnny.owens@amaranta.edu,johnny_owens,Johnny,Owens,Internship,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Bob Brown,bob_brown@target.com,Senior Environmental Specialist,10/26/10,1/26/11,f,35013,Target,hr@target.com,approved,yes,staff@amaranta.edu,staff,Student,Amaranta University,Internship,Part-Time,Retail Industry,"Mountain View, CA, USA",Mountain View,California,United States
Laura Jefferson,laura_jefferson@michigan.gov,Pathway Intern,10/26/10,1/26/11,t,48610,State of Michigan Treasury,hr@michigan.gov,pending,no,mathew.warren@amaranta.edu,mathew_warren,Mathew,Warren,Internship,Part-Time,Government Administration,"Bakersfield, CA, USA",Bakersfield,California,United States
Claire Brown,claire_brown@joinhandshake.com,Interactive News Developer,10/26/11,1/26/12,t,116347,Handshake,hr@joinhandshake.com,approved,yes,lydia.jenkins@amaranta.edu,lydia_jenkins,Lydia,Jenkins,Fellowship,Part-Time,Internet,"Palo Alto, CA, USA",Palo Alto,California,United States
Andrew Franz,andrew_franz@walgreens.com,Beauty Editor,10/26/10,1/26/11,t,50846,Walgreens,hr@walgreens.com,pending,yes,ethan.rice@amaranta.edu,ethan_rice,Ethan,Rice,Job,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Bob Brown,bob_brown@target.com,Apheresis Technician - Part-Time,10/26/10,1/26/11,f,90019,Target,hr@target.com,pending,yes,arianna.oliver@amaranta.edu,arianna_oliver,Arianna,Oliver,Cooperative Education,Part-Time,Retail Industry,"Mountain View, CA, USA",Mountain View,California,United States
Travis Jones,travis_jones@nytimes.com,Disk Jockey,10/26/10,1/26/11,t,103087,New York Times,hr@nytimes.com,approved,yes,felix.lane@amaranta.edu,felix_lane,Felix,Lane,Cooperative Education,Part-Time,Newspapers/Journalism,"Mountain View, CA, USA",Mountain View,California,United States
John Smith,john_smith@century21.com,"Sales Intern, Crop Protection and Seeds",10/26/10,1/26/11,f,84784,Century21,hr@century21.com,approved,yes,ethel.kelly@amaranta.edu,ethel_kelly,Ethel,Kelly,On Campus Student Employment,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Travis Jones,travis_jones@nytimes.com,"Data Scientist, Statistics & Decision Science",10/26/10,1/26/11,f,93761,New York Times,hr@nytimes.com,pending,no,franklin.peterson@amaranta.edu,franklin_peterson,Franklin,Peterson,Fellowship,Part-Time,Newspapers/Journalism,"Mountain View, CA, USA",Mountain View,California,United States
Laura Jefferson,laura_jefferson@michigan.gov,Per Diem Pharmacist,10/26/10,1/26/11,t,119952,State of Michigan Treasury,hr@michigan.gov,declined,undecided,yvonne.nelson@amaranta.edu,yvonne_nelson,Yvonne,Nelson,Cooperative Education,Full-Time,Government Administration,"Bakersfield, CA, USA",Bakersfield,California,United States
John Smith,john_smith@century21.com,Per Diem Pharmacist,10/26/11,1/26/12,f,102542,Century21,hr@century21.com,declined,no,student@amaranta.edu,student,John,Doe,Internship,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Claire Brown,claire_brown@joinhandshake.com,Pathway Intern,10/26/10,1/26/11,t,72258,Handshake,hr@joinhandshake.com,approved,undecided,samantha.dean@amaranta.edu,samantha_dean,Samantha,Dean,On Campus Student Employment,Full-Time,Internet,"Palo Alto, CA, USA",Palo Alto,California,United States
Laura Brown,laura_brown@wellsfargo.com,Project Manager,10/26/10,1/26/11,t,70868,Wells Fargo,hr@wellsfargo.com,declined,no,randy.morgan@amaranta.edu,randy_morgan,Randy,Morgan,Graduate School,Part-Time,Computer Networking,"San Francisco, CA, USA",San Francisco,California,United States
Jane Anderson,jane_anderson@espn.com,GMail Engineer,10/26/11,1/26/12,t,86847,ESPN,hr@espn.com,approved,no,joshua.bradley@amaranta.edu,joshua_bradley,Joshua,Bradley,Job,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Travis Jones,travis_jones@nytimes.com,Gas Distribution Operations,10/26/11,1/26/12,t,124488,New York Times,hr@nytimes.com,approved,no,anna.hall@amaranta.edu,anna_hall,Anna,Hall,Experiential Learning,Part-Time,Newspapers/Journalism,"Mountain View, CA, USA",Mountain View,California,United States
Scott Miller,scott_miller@edisonlearning.com,Pharmacist,10/26/11,1/26/12,t,37171,Edison Learning,hr@edisonlearning.com,approved,yes,tonya.gonzalez@amaranta.edu,tonya_gonzalez,Tonya,Gonzalez,On Campus Student Employment,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Scott Miller,scott_miller@edisonlearning.com,Showband - Trombone,10/26/11,1/26/12,t,125187,Edison Learning,hr@edisonlearning.com,approved,no,lily.steeves@amaranta.edu,lily_steeves,Lily,Steeves,Internship,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Laura Jefferson,laura_jefferson@michigan.gov,"High School English Teacher, Magic Johnson Bridgescape Academy, Chicago",10/26/10,1/26/11,t,100648,State of Michigan Treasury,hr@michigan.gov,declined,yes,miriam.lane@amaranta.edu,miriam_lane,Miriam,Lane,Internship,Full-Time,Government Administration,"Bakersfield, CA, USA",Bakersfield,California,United States
John Brown,john_brown@michigan.gov,Business Innovations Analyst,10/26/10,1/26/11,t,38922,Department of Natural Resources - MI,hr@michigan.gov,pending,yes,allison.gilbert@amaranta.edu,allison_gilbert,Allison,Gilbert,Fellowship,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Andrew Franz,andrew_franz@seventeen.com,Corporate Communications - Digital Media Internship,10/26/11,1/26/12,f,35077,Seventeen Magazine (Hearst Co.),hr@seventeen.com,approved,no,marvin.kim@amaranta.edu,marvin_kim,Marvin,Kim,On Campus Student Employment,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Jenna Franz,jenna_franz@ge.com,Apheresis Technician - Part-Time,10/26/10,1/26/11,t,70245,GE,hr@ge.com,approved,no,robert.payne@amaranta.edu,robert_payne,Robert,Payne,Internship,Part-Time,Electrical/Electronic Manufacturing,"Fairfield, CT, USA",Fairfield,Connecticut,United States
Laura Brown,laura_brown@wellsfargo.com,Wildlife Biologist,10/26/10,1/26/11,t,87646,Wells Fargo,hr@wellsfargo.com,approved,undecided,bernard.stewart@amaranta.edu,bernard_stewart,Bernard,Stewart,Graduate School,Full-Time,Computer Networking,"San Francisco, CA, USA",San Francisco,California,United States
Jenna Franz,jenna_franz@ge.com,Content Analyst,10/26/10,1/26/11,f,82234,GE,hr@ge.com,approved,undecided,shane.harrison@amaranta.edu,shane_harrison,Shane,Harrison,Experiential Learning,Part-Time,Electrical/Electronic Manufacturing,"Fairfield, CT, USA",Fairfield,Connecticut,United States
Jane Anderson,jane_anderson@espn.com,Financial Analyst,10/26/10,1/26/11,t,50496,ESPN,hr@espn.com,approved,undecided,jo.wells@amaranta.edu,jo_wells,Jo,Wells,Job,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Jane Miller,jane_miller@si.edu,"High School English Teacher, Magic Johnson Bridgescape Academy, Chicago",10/26/10,1/26/11,t,114440,Smithsonian Institution,hr@si.edu,approved,no,kelly.allen@amaranta.edu,kelly_allen,Kelly,Allen,Experiential Learning,Part-Time,Museums/Institutions,"Washington, DC, USA",Washington,District of Columbia,United States
Jane Miller,jane_miller@si.edu,High School Special Education Teacher,10/26/10,1/26/11,f,75236,Smithsonian Institution,hr@si.edu,pending,yes,dolores.castro@amaranta.edu,dolores_castro,Dolores,Castro,Job,Part-Time,Museums/Institutions,"Washington, DC, USA",Washington,District of Columbia,United States
Scott Brown,scott_brown@ted.com,Senior Environmental Specialist,10/26/11,1/26/12,t,54009,TED Conferences,hr@ted.com,approved,no,samuel.martinez@amaranta.edu,samuel_martinez,Samuel,Martinez,Internship,Part-Time,Non-Profit/Volunteering,"New York, NY, USA",New York,New York,United States
Scott Miller,scott_miller@edisonlearning.com,Per Diem Pharmacist,10/26/10,1/26/11,f,124319,Edison Learning,hr@edisonlearning.com,approved,yes,dylan.mccoy@amaranta.edu,dylan_mccoy,Dylan,Mccoy,Internship,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Jane Miller,jane_miller@si.edu,Teacher Librarian,10/26/11,1/26/12,f,105911,Smithsonian Institution,hr@si.edu,approved,undecided,dave.wade@amaranta.edu,dave_wade,Dave,Wade,Internship,Full-Time,Museums/Institutions,"Washington, DC, USA",Washington,District of Columbia,United States
Jane Smith,jane_smith@walmart.com,Business Innovations Analyst,10/26/11,1/26/12,t,125975,Walmart,hr@walmart.com,pending,yes,ida.dean@amaranta.edu,ida_dean,Ida,Dean,Job,Part-Time,Retail Industry,"Mountain View, CA, USA",Mountain View,California,United States
Jenna Franz,jenna_franz@ge.com,Senior Designer,10/26/11,1/26/12,f,40041,GE,hr@ge.com,approved,yes,jerry.lawson@amaranta.edu,jerry_lawson,Jerry,Lawson,Experiential Learning,Full-Time,Electrical/Electronic Manufacturing,"Fairfield, CT, USA",Fairfield,Connecticut,United States
Bob Brown,bob_brown@target.com,Pathway Intern,10/26/11,1/26/12,t,104176,Target,hr@target.com,pending,undecided,lee.shaw@amaranta.edu,lee_shaw,Lee,Shaw,Cooperative Education,Part-Time,Retail Industry,"Mountain View, CA, USA",Mountain View,California,United States
Jane Miller,jane_miller@si.edu,AMP'd Tour Marketing Rep,10/26/11,1/26/12,f,60123,Smithsonian Institution,hr@si.edu,approved,undecided,mattie.cooper@amaranta.edu,mattie_cooper,Mattie,Cooper,Graduate School,Part-Time,Museums/Institutions,"Washington, DC, USA",Washington,District of Columbia,United States
Scott Jones,scott_jones@redcross.org,Financial Analyst,10/26/10,1/26/11,t,73770,American Red Cross,hr@redcross.org,approved,no,darryl.craig@amaranta.edu,darryl_craig,Darryl,Craig,Cooperative Education,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Laura Brown,laura_brown@wellsfargo.com,Financial Analyst,10/26/10,1/26/11,t,109587,Wells Fargo,hr@wellsfargo.com,pending,yes,daryl.holt@amaranta.edu,daryl_holt,Daryl,Holt,Cooperative Education,Full-Time,Computer Networking,"San Francisco, CA, USA",San Francisco,California,United States
Scott Brown,scott_brown@ted.com,Art Director,10/26/11,1/26/12,f,57045,TED Conferences,hr@ted.com,declined,yes,tom.perkins@amaranta.edu,tom_perkins,Tom,Perkins,Graduate School,Full-Time,Non-Profit/Volunteering,"New York, NY, USA",New York,New York,United States
Jane Anderson,jane_anderson@espn.com,Per Diem Pharmacist,10/26/11,1/26/12,t,126963,ESPN,hr@espn.com,approved,yes,flenn.bennett@amaranta.edu,flenn_bennett,Flenn,Bennett,Fellowship,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Claire Brown,claire_brown@joinhandshake.com,Beauty Editor,10/26/11,1/26/12,f,98244,Handshake,hr@joinhandshake.com,approved,yes,jeff.reyes@amaranta.edu,jeff_reyes,Jeff,Reyes,Fellowship,Full-Time,Internet,"Palo Alto, CA, USA",Palo Alto,California,United States
Jenna Brown,jenna_brown@nngco.com,Production Assistant,10/26/11,1/26/12,f,110982,Northern Natural Gas,hr@nngco.com,pending,yes,denise.kelley@amaranta.edu,denise_kelley,Denise,Kelley,Graduate School,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Scott Jones,scott_jones@redcross.org,Project Manager,10/26/10,1/26/11,t,60224,American Red Cross,hr@redcross.org,approved,no,albert.simmons@amaranta.edu,albert_simmons,Albert,Simmons,Graduate School,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Scott Williams,scott_williams@abc-company.com,GMail Engineer,10/26/11,1/26/12,f,123742,ABC Company,hr@abc-company.com,approved,undecided,teresa.brown@amaranta.edu,teresa_brown,Teresa,Brown,On Campus Student Employment,Part-Time,Internet,"Mountain View, CA, USA",Mountain View,California,United States
Andrew Franz,andrew_franz@seventeen.com,GMail Engineer,10/26/10,1/26/11,f,34500,Seventeen Magazine (Hearst Co.),hr@seventeen.com,approved,no,dylan.ruiz@amaranta.edu,dylan_ruiz,Dylan,Ruiz,Internship,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Andrew Brown,andrew_brown@nucor.com,"Data Scientist, Statistics & Decision Science",10/26/10,1/26/11,t,96572,Nucor Steel,hr@nucor.com,approved,yes,kristen.shaw@amaranta.edu,kristen_shaw,Kristen,Shaw,Graduate School,Part-Time,Mining/Metals,"Crawfordsville, IN 47933, USA",Crawfordsville,Indiana,United States
Scott Jones,scott_jones@redcross.org,Pharmacist,10/26/10,1/26/11,t,118864,American Red Cross,hr@redcross.org,approved,undecided,ivan.larson@amaranta.edu,ivan_larson,Ivan,Larson,Cooperative Education,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Jane Anderson,jane_anderson@espn.com,Quarantine & Labeling ManufacturingTechnician II,10/26/10,1/26/11,f,80695,ESPN,hr@espn.com,approved,yes,ricky.wood@amaranta.edu,ricky_wood,Ricky,Wood,Experiential Learning,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Laura Franz,laura_franz@usda.gov,Production Assistant,10/26/10,1/26/11,f,39205,United States Department of Agriculture,hr@usda.gov,approved,yes,yvonne.lane@amaranta.edu,yvonne_lane,Yvonne,Lane,Internship,Part-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Jenna Brown,jenna_brown@dowagro.com,Production Assistant,10/26/10,1/26/11,f,128927,Dow AgroSciences,hr@dowagro.com,pending,undecided,erin.frazier@amaranta.edu,erin_frazier,Erin,Frazier,Cooperative Education,Full-Time,Chemicals,"Bakersfield, CA, USA",Bakersfield,California,United States
Travis Jones,travis_jones@nytimes.com,Quarantine & Labeling ManufacturingTechnician II,10/26/11,1/26/12,t,49525,New York Times,hr@nytimes.com,approved,yes,milton.holland@amaranta.edu,milton_holland,Milton,Holland,Job,Full-Time,Newspapers/Journalism,"Mountain View, CA, USA",Mountain View,California,United States
